ID,Line,Station
1,Piccadilly,Hyde Park Corner
2,Piccadilly,Green Park
3,Piccadilly,Piccadilly Circus
4,Piccadilly,Leicester Square
5,Piccadilly,Covent Garden
6,Piccadilly,Holborn
7,Piccadilly,Russell Square
8,Bakerloo,Marylebone
9,Bakerloo,Regent's Park
10,Bakerloo,Oxford Circus
11,Bakerloo,Piccadilly Circus
12,Bakerloo,Charing Cross
13,Bakerloo,Lambeth North
14,Central,Lancaster Gate
15,Central,Marble Arch
16,Central,Bond Street
17,Central,Oxford Circus
18,Central,Tottenham Court Road
19,Central,Holborn
20,Central,Chancery Lane
21,Northern,Warren Street
22,Northern,Goodge Street
23,Northern,Tottenham Court Road
24,Northern,Leicester Square
25,Northern,Charing Cross
26,Northern,Waterloo
